truth	predict	accuracy
[6]	[3]	0.0
[5]	[6]	0.0
[1]	[6]	0.0
[5]	[5]	1.0
[4]	[0]	0.0
[5]	[5]	1.0
[4]	[4]	1.0
[3]	[5]	0.0
[1]	[1]	1.0
[1]	[1]	1.0
[0, 3]	[3]	0.5
[1]	[2]	0.0
[6]	[5]	0.0
[3]	[3]	1.0
[3]	[2]	0.0
[2]	[4]	0.0
[5, 6]	[0]	0.0
[2]	[2]	1.0
[0]	[0]	1.0
[4]	[4]	1.0
[0]	[0]	1.0
[5]	[5]	1.0
[3]	[4]	0.0
[5]	[4]	0.0
[6]	[4]	0.0
[1]	[1]	1.0
[1]	[1]	1.0
[6]	[0]	0.0
[3]	[0]	0.0
[5]	[5]	1.0
[0]	[0]	1.0
[0, 3]	[5]	0.0
[3]	[3]	1.0
[1]	[4]	0.0
[1]	[2]	0.0
[5]	[5]	1.0
[3]	[2]	0.0
[3]	[3]	1.0
[5]	[5]	1.0
[2]	[2]	1.0
[1, 6]	[6]	0.5
[6]	[1]	0.0
[0]	[0]	1.0
[4]	[4]	1.0
[1]	[6]	0.0
[3]	[3]	1.0
[1, 5, 6]	[1]	0.3333333333333333
[1]	[4]	0.0
[4]	[4]	1.0
[0]	[0]	1.0
[1]	[1]	1.0
[5]	[5]	1.0
[0, 4]	[4]	0.5
[3]	[0]	0.0
[1]	[1]	1.0
[4, 6]	[3]	0.0
[3]	[3]	1.0
[2]	[0]	0.0
[2]	[2]	1.0
[5]	[4]	0.0
[0, 1]	[1]	0.5
[5]	[2]	0.0
[6]	[6]	1.0
[1]	[4]	0.0
[1, 6]	[6]	0.5
[6]	[4]	0.0
[5]	[2]	0.0
[1]	[2]	0.0
[0]	[0]	1.0
[4]	[2]	0.0
[2]	[2]	1.0
[3]	[4]	0.0
[2]	[0]	0.0
[2]	[2]	1.0
[3]	[0]	0.0
[2]	[2]	1.0
[3]	[3]	1.0
[1]	[2]	0.0
[4]	[4]	1.0
[1]	[1]	1.0
[3]	[0]	0.0
[4]	[4]	1.0
[6]	[6]	1.0
[0, 5]	[5]	0.5
[1]	[5]	0.0
[1]	[1]	1.0
[5]	[5]	1.0
[6]	[6]	1.0
[0]	[6]	0.0
[3]	[3]	1.0
[6]	[0]	0.0
[6]	[6]	1.0
[0]	[4]	0.0
[2]	[2]	1.0
[6]	[6]	1.0
[5]	[0]	0.0
[2]	[0]	0.0
[4]	[4]	1.0
[6]	[2]	0.0
[4]	[4]	1.0
[6]	[6]	1.0
[2]	[2]	1.0
[0]	[0]	1.0
[3]	[2]	0.0
[0]	[3]	0.0
[2]	[4]	0.0
[0]	[0]	1.0
[5]	[5]	1.0
[2]	[2]	1.0
[5]	[0]	0.0
[3]	[3]	1.0
[2]	[2]	1.0
[6]	[2]	0.0
[0]	[3]	0.0
[2, 4]	[2]	0.5
[2]	[3]	0.0
[3, 5]	[4]	0.0
[5]	[5]	1.0
[5]	[0]	0.0
[5]	[5]	1.0
[4]	[4]	1.0
[6]	[1]	0.0
[2]	[2]	1.0
[1]	[1]	1.0
[2]	[2]	1.0
[3]	[5]	0.0
[6]	[4]	0.0
[0]	[5]	0.0
[0]	[0]	1.0
[3]	[3]	1.0
[1]	[0]	0.0
[1]	[0]	0.0
[2]	[2]	1.0
[0]	[0]	1.0
[0]	[6]	0.0
[2, 3]	[2]	0.5
[3]	[1]	0.0
[1]	[5]	0.0
[6]	[0]	0.0
[4]	[4]	1.0
[2]	[1]	0.0
[4]	[3]	0.0
[1]	[1]	1.0
[2]	[2]	1.0
[0]	[0]	1.0
[1]	[0]	0.0
[4]	[4]	1.0
[0]	[0]	1.0
[4]	[4]	1.0
[5]	[5]	1.0
[0]	[4]	0.0
[2]	[2]	1.0
[0, 3]	[0]	0.5
[6]	[6]	1.0
[2]	[4]	0.0
[3]	[3]	1.0
[0, 5]	[5]	0.5
[0]	[2]	0.0
[1]	[1]	1.0
[1]	[1]	1.0
[4, 6]	[4]	0.5
[1]	[1]	1.0
[0]	[5]	0.0
[5]	[5]	1.0
[0]	[4]	0.0
[4, 5]	[1]	0.0
[5]	[1]	0.0
[6]	[6]	1.0
[5]	[5]	1.0
[6]	[1]	0.0
[0]	[0]	1.0
[1]	[1]	1.0
[1]	[1]	1.0
[6]	[6]	1.0
[4]	[4]	1.0
[6]	[4]	0.0
[4]	[4]	1.0
[2]	[2]	1.0
[1, 2]	[0]	0.0
[3]	[3]	1.0
[4, 6]	[4]	0.5
[3]	[1]	0.0
[1]	[1]	1.0
[2]	[2]	1.0
[2]	[2]	1.0
[1, 2]	[5]	0.0
[1]	[1]	1.0
[5]	[1]	0.0
[1]	[4]	0.0
[4]	[6]	0.0
[3]	[3]	1.0
[2]	[2]	1.0
[1]	[1]	1.0
[1]	[6]	0.0
[0, 1]	[0]	0.5
[4]	[4]	1.0
[4, 6]	[6]	0.5
[0, 4]	[4]	0.5
[2]	[2]	1.0
[6]	[6]	1.0
[3]	[3]	1.0
[0]	[0]	1.0
[1]	[4]	0.0
[3]	[3]	1.0
[6]	[1]	0.0
[0]	[0]	1.0
[2]	[4]	0.0
[2, 3, 6]	[6]	0.3333333333333333
[6]	[2]	0.0
[6]	[4]	0.0
[3]	[4]	0.0
[3]	[3]	1.0
[1]	[1]	1.0
