truth	predict	accuracy
[2, 4]	[2]	0.5
[3]	[5]	0.0
[0]	[0]	1.0
[3]	[3]	1.0
[1]	[6]	0.0
[0]	[0]	1.0
[0]	[6]	0.0
[0]	[0]	1.0
[6]	[4]	0.0
[4, 6]	[4]	0.5
[6]	[0]	0.0
[4]	[4]	1.0
[5]	[1]	0.0
[2]	[2]	1.0
[5]	[2]	0.0
[3]	[3]	1.0
[2]	[2]	1.0
[2]	[2]	1.0
[3]	[2]	0.0
[2, 5]	[0]	0.0
[2, 5]	[4]	0.0
[5]	[4]	0.0
[0]	[6]	0.0
[0]	[0]	1.0
[6]	[6]	1.0
[2]	[2]	1.0
[2]	[2]	1.0
[1]	[6]	0.0
[1]	[1]	1.0
[1]	[1]	1.0
[4]	[4]	1.0
[5]	[4]	0.0
[6]	[4]	0.0
[6]	[6]	1.0
[4]	[4]	1.0
[6]	[6]	1.0
[0]	[5]	0.0
[0]	[5]	0.0
[6]	[6]	1.0
[2]	[2]	1.0
[4]	[4]	1.0
[5]	[5]	1.0
[6]	[3]	0.0
[5]	[5]	1.0
[5]	[0]	0.0
[2]	[2]	1.0
[0]	[5]	0.0
[1]	[1]	1.0
[2]	[4]	0.0
[2]	[0]	0.0
[3]	[5]	0.0
[5]	[5]	1.0
[5]	[5]	1.0
[5]	[5]	1.0
[5]	[0]	0.0
[0]	[0]	1.0
[0]	[0]	1.0
[6]	[0]	0.0
[5]	[5]	1.0
[1, 3]	[3]	0.5
[5]	[0]	0.0
[0]	[3]	0.0
[0]	[0]	1.0
[3]	[3]	1.0
[2]	[2]	1.0
[1]	[1]	1.0
[5]	[2]	0.0
[0, 5]	[5]	0.5
[1]	[3]	0.0
[4]	[6]	0.0
[5]	[4]	0.0
[3]	[3]	1.0
[0]	[5]	0.0
[5]	[2]	0.0
[3]	[3]	1.0
[5, 6]	[1]	0.0
[2]	[2]	1.0
[5]	[5]	1.0
[6]	[2]	0.0
[0]	[0]	1.0
[3]	[2]	0.0
[1]	[1]	1.0
[6]	[0]	0.0
[6]	[6]	1.0
[3]	[0]	0.0
[5]	[5]	1.0
[2]	[2]	1.0
[0, 3]	[0]	0.5
[2]	[2]	1.0
[6]	[5]	0.0
[5]	[6]	0.0
[1]	[1]	1.0
[3]	[3]	1.0
[2]	[2]	1.0
[1]	[5]	0.0
[6]	[4]	0.0
[5]	[5]	1.0
[3]	[4]	0.0
[3]	[0]	0.0
[4]	[4]	1.0
[4]	[0]	0.0
[0]	[1]	0.0
[2]	[2]	1.0
[0]	[4]	0.0
[3]	[3]	1.0
[5]	[3]	0.0
[4]	[4]	1.0
[4]	[4]	1.0
[0]	[4]	0.0
[3]	[4]	0.0
[6]	[6]	1.0
[3]	[3]	1.0
[3, 5]	[5]	0.5
[5]	[4]	0.0
[6]	[1]	0.0
[4]	[0]	0.0
[2, 4]	[5]	0.0
[6]	[3]	0.0
[1]	[2]	0.0
[5]	[5]	1.0
[2, 6]	[2]	0.5
[0]	[0]	1.0
[6]	[6]	1.0
[4]	[0]	0.0
[6]	[6]	1.0
[1]	[3]	0.0
[0]	[2]	0.0
[0]	[2]	0.0
[3]	[2]	0.0
[3]	[3]	1.0
[3]	[6]	0.0
[5]	[4]	0.0
[2, 3]	[1]	0.0
[4, 5]	[3]	0.0
[0]	[4]	0.0
[1]	[4]	0.0
[0]	[0]	1.0
[0]	[0]	1.0
[5]	[1]	0.0
[1]	[1]	1.0
[5]	[5]	1.0
[1]	[1]	1.0
[3]	[3]	1.0
[5]	[4]	0.0
[6]	[4]	0.0
[3, 6]	[0]	0.0
[5]	[5]	1.0
[4]	[4]	1.0
[1]	[4]	0.0
[2]	[4]	0.0
[2]	[2]	1.0
[6]	[0]	0.0
[2]	[2]	1.0
[2]	[1]	0.0
[5]	[1]	0.0
[6]	[0]	0.0
[2]	[2]	1.0
[3, 4]	[4]	0.5
[5]	[5]	1.0
[2]	[2]	1.0
[1]	[0]	0.0
[5]	[0]	0.0
[4, 5]	[4]	0.5
[1]	[1]	1.0
[4]	[4]	1.0
[1]	[4]	0.0
[5]	[5]	1.0
[5]	[5]	1.0
[1]	[1]	1.0
[0]	[0]	1.0
[4]	[0]	0.0
[4]	[2]	0.0
[0]	[0]	1.0
[3]	[3]	1.0
[5]	[5]	1.0
[3]	[3]	1.0
[4]	[4]	1.0
[6]	[2]	0.0
[2, 3]	[4]	0.0
[1]	[1]	1.0
[2]	[2]	1.0
[0]	[0]	1.0
[2]	[2]	1.0
[3]	[3]	1.0
[1]	[4]	0.0
[2]	[4]	0.0
[3]	[3]	1.0
[6]	[6]	1.0
[2]	[2]	1.0
[2]	[6]	0.0
[5]	[5]	1.0
[0, 4]	[4]	0.5
[5]	[3]	0.0
[2]	[2]	1.0
[2]	[2]	1.0
[4]	[4]	1.0
[2]	[0]	0.0
[5]	[4]	0.0
[0]	[0]	1.0
[0]	[0]	1.0
[4]	[4]	1.0
[6]	[4]	0.0
[5]	[5]	1.0
[5]	[4]	0.0
[0]	[0]	1.0
[5]	[0]	0.0
[5]	[5]	1.0
[6]	[2]	0.0
[0]	[2]	0.0
[2]	[3]	0.0
[3]	[3]	1.0
[0]	[0]	1.0
[6]	[4]	0.0
[0]	[0]	1.0
[2]	[2]	1.0
[0]	[0]	1.0
[1]	[0]	0.0
[5]	[5]	1.0
[1]	[1]	1.0
[5]	[5]	1.0
[4]	[4]	1.0
[3]	[6]	0.0
[1]	[0]	0.0
[0, 1]	[0]	0.5
[1]	[2]	0.0
[5]	[5]	1.0
[1]	[1]	1.0
[0]	[0]	1.0
[1, 4]	[4]	0.5
[5]	[5]	1.0
[3]	[0]	0.0
[2]	[2]	1.0
[2]	[0]	0.0
[0]	[0]	1.0
[3]	[3]	1.0
[0]	[0]	1.0
[2]	[4]	0.0
[0]	[0]	1.0
[2]	[2]	1.0
[6]	[0]	0.0
[3]	[3]	1.0
[1]	[1]	1.0
[0]	[0]	1.0
[5]	[2]	0.0
[0]	[4]	0.0
[6]	[6]	1.0
[1]	[1]	1.0
[2]	[2]	1.0
[0]	[2]	0.0
[2]	[2]	1.0
[3]	[5]	0.0
[5]	[2]	0.0
[1]	[1]	1.0
[3]	[2]	0.0
[6]	[6]	1.0
[2, 6]	[5]	0.0
[6]	[2]	0.0
[6]	[6]	1.0
[5]	[2]	0.0
[2, 5]	[4]	0.0
[5]	[6]	0.0
[5]	[5]	1.0
[2]	[2]	1.0
[4]	[4]	1.0
[1]	[1]	1.0
[1]	[1]	1.0
[1]	[6]	0.0
[0]	[0]	1.0
[4]	[4]	1.0
[3, 6]	[4]	0.0
[2]	[4]	0.0
[0]	[2]	0.0
[1]	[0]	0.0
[4]	[4]	1.0
[0]	[0]	1.0
[2, 4]	[2]	0.5
[1]	[1]	1.0
[6]	[1]	0.0
[2]	[2]	1.0
[3]	[3]	1.0
[1]	[1]	1.0
[0]	[0]	1.0
[3]	[3]	1.0
[1]	[1]	1.0
[0]	[4]	0.0
[6]	[6]	1.0
[1]	[0]	0.0
[0]	[0]	1.0
[2]	[2]	1.0
[1]	[5]	0.0
[0]	[5]	0.0
[3]	[3]	1.0
[4, 5]	[4]	0.5
[3]	[2]	0.0
[0]	[0]	1.0
[5]	[5]	1.0
[3]	[3]	1.0
[2]	[0]	0.0
[6]	[0]	0.0
[3]	[3]	1.0
[1]	[1]	1.0
[5]	[5]	1.0
[4]	[0]	0.0
[5]	[5]	1.0
[6]	[2]	0.0
[6]	[4]	0.0
[1]	[1]	1.0
[2]	[2]	1.0
[5]	[5]	1.0
[5]	[6]	0.0
[6]	[6]	1.0
[0]	[0]	1.0
[1]	[1]	1.0
[5]	[5]	1.0
[0]	[0]	1.0
[3]	[3]	1.0
[3]	[4]	0.0
[2]	[2]	1.0
[3]	[3]	1.0
[3]	[3]	1.0
[0]	[1]	0.0
[2]	[2]	1.0
[0]	[4]	0.0
[2]	[2]	1.0
[3]	[2]	0.0
[0]	[0]	1.0
[1]	[1]	1.0
[0]	[6]	0.0
[1, 5]	[0]	0.0
[1]	[1]	1.0
[4]	[1]	0.0
[3]	[3]	1.0
[3]	[2]	0.0
[0]	[0]	1.0
[2, 4]	[4]	0.5
[1]	[1]	1.0
[3]	[1]	0.0
[1]	[6]	0.0
[3]	[3]	1.0
[2]	[2]	1.0
[6]	[2]	0.0
[3, 6]	[4]	0.0
[4]	[4]	1.0
[0]	[0]	1.0
[3]	[3]	1.0
[1]	[0]	0.0
[2]	[2]	1.0
[5]	[5]	1.0
[3]	[0]	0.0
[6]	[6]	1.0
[3]	[3]	1.0
[6]	[3]	0.0
[3]	[3]	1.0
[5]	[2]	0.0
[2]	[4]	0.0
[3]	[4]	0.0
[1]	[4]	0.0
[6]	[6]	1.0
[4]	[0]	0.0
[3]	[3]	1.0
[4]	[4]	1.0
[0]	[0]	1.0
[2]	[2]	1.0
[4]	[4]	1.0
[5]	[5]	1.0
[3]	[4]	0.0
[5]	[5]	1.0
[3]	[3]	1.0
[4, 5]	[5]	0.5
[2]	[0]	0.0
[2]	[4]	0.0
[6]	[6]	1.0
[0, 1]	[1]	0.5
[2]	[2]	1.0
[2, 3]	[2]	0.5
[5]	[5]	1.0
[1]	[1]	1.0
[4]	[4]	1.0
[5]	[5]	1.0
[2]	[2]	1.0
[3]	[4]	0.0
[6]	[6]	1.0
[2, 4]	[6]	0.0
[6]	[0]	0.0
[4]	[4]	1.0
[3]	[6]	0.0
[3]	[0]	0.0
[6]	[2]	0.0
[4]	[4]	1.0
[4]	[4]	1.0
[0]	[0]	1.0
[0]	[0]	1.0
[5]	[1]	0.0
[3]	[2]	0.0
[2]	[2]	1.0
[0, 1]	[2]	0.0
[2]	[2]	1.0
[6]	[6]	1.0
[2]	[5]	0.0
[6]	[6]	1.0
[3]	[3]	1.0
[2]	[2]	1.0
[1, 3]	[3]	0.5
[5]	[5]	1.0
[1]	[0]	0.0
[2]	[2]	1.0
[2, 3, 4]	[3]	0.3333333333333333
[6]	[6]	1.0
[5]	[5]	1.0
[3]	[3]	1.0
[0]	[0]	1.0
[3]	[3]	1.0
[6]	[2]	0.0
[1]	[0]	0.0
[5]	[0]	0.0
[4]	[5]	0.0
[3]	[4]	0.0
[3]	[3]	1.0
[1]	[4]	0.0
[2]	[2]	1.0
[6]	[4]	0.0
[2]	[2]	1.0
[0]	[4]	0.0
[5]	[5]	1.0
[2]	[4]	0.0
[3]	[1]	0.0
[3]	[0]	0.0
[1]	[4]	0.0
[0]	[4]	0.0
[0]	[0]	1.0
[1]	[1]	1.0
[2]	[3]	0.0
[1]	[2]	0.0
[6]	[0]	0.0
[2]	[2]	1.0
[1]	[1]	1.0
[0]	[0]	1.0
[2]	[2]	1.0
[1]	[5]	0.0
[5]	[4]	0.0
[0]	[0]	1.0
[3]	[3]	1.0
[0]	[0]	1.0
[3]	[1]	0.0
[0]	[0]	1.0
[6]	[6]	1.0
[1]	[1]	1.0
[2]	[4]	0.0
[2]	[2]	1.0
[3]	[3]	1.0
[0]	[0]	1.0
[6]	[6]	1.0
[5]	[5]	1.0
[0]	[2]	0.0
[4, 5]	[5]	0.5
[1]	[4]	0.0
[1]	[1]	1.0
[3]	[3]	1.0
[2, 4]	[2]	0.5
[1]	[6]	0.0
[0]	[5]	0.0
[1]	[1]	1.0
[3, 4]	[4]	0.5
[3]	[3]	1.0
[3]	[3]	1.0
[4]	[4]	1.0
[4]	[4]	1.0
[5]	[5]	1.0
[3]	[5]	0.0
[6]	[2]	0.0
[1]	[1]	1.0
[3, 5]	[3]	0.5
[4]	[0]	0.0
[4]	[4]	1.0
[5]	[0]	0.0
[0, 1, 6]	[0]	0.3333333333333333
[4]	[0]	0.0
[6]	[6]	1.0
[1]	[5]	0.0
[4]	[2]	0.0
[2]	[2]	1.0
[0]	[2]	0.0
[1, 3]	[1]	0.5
[2]	[4]	0.0
[4]	[4]	1.0
[4]	[4]	1.0
[3]	[3]	1.0
[2]	[2]	1.0
[1]	[5]	0.0
[6]	[0]	0.0
[6]	[6]	1.0
[0]	[3]	0.0
[4]	[5]	0.0
[0]	[2]	0.0
[1]	[1]	1.0
[1]	[1]	1.0
[3]	[3]	1.0
[3]	[3]	1.0
[6]	[6]	1.0
[2]	[2]	1.0
[4]	[4]	1.0
[1, 2]	[1]	0.5
[5]	[2]	0.0
[3]	[3]	1.0
[0, 3]	[0]	0.5
[0]	[5]	0.0
[5]	[1]	0.0
[3]	[3]	1.0
[6]	[6]	1.0
[3]	[3]	1.0
[0]	[4]	0.0
[2]	[2]	1.0
[4]	[0]	0.0
[5]	[6]	0.0
[4]	[4]	1.0
[6]	[6]	1.0
[1]	[1]	1.0
[2]	[2]	1.0
[0]	[5]	0.0
[0]	[0]	1.0
[5]	[5]	1.0
[3, 5]	[5]	0.5
[0]	[0]	1.0
[2]	[4]	0.0
[6]	[2]	0.0
[4]	[4]	1.0
[2]	[2]	1.0
[2]	[0]	0.0
[2]	[2]	1.0
[2]	[3]	0.0
[1]	[1]	1.0
[1]	[1]	1.0
[3]	[0]	0.0
[1]	[4]	0.0
[5]	[4]	0.0
[2]	[0]	0.0
[4]	[4]	1.0
[3]	[3]	1.0
[6]	[5]	0.0
[1]	[2]	0.0
[1]	[1]	1.0
[1]	[0]	0.0
[1]	[1]	1.0
[6]	[6]	1.0
[6]	[1]	0.0
[2]	[5]	0.0
[5]	[0]	0.0
[4]	[4]	1.0
[0, 3]	[4]	0.0
[0, 2]	[2]	0.5
[2]	[2]	1.0
[5]	[5]	1.0
[6]	[3]	0.0
[0]	[0]	1.0
[3]	[3]	1.0
[6]	[6]	1.0
[1]	[1]	1.0
[5]	[5]	1.0
[6]	[4]	0.0
[6]	[6]	1.0
[3]	[4]	0.0
[2]	[0]	0.0
[6]	[2]	0.0
[6]	[3]	0.0
[5]	[2]	0.0
[1, 5]	[1]	0.5
[4]	[4]	1.0
[6]	[3]	0.0
[2]	[0]	0.0
[2]	[2]	1.0
[0]	[2]	0.0
[5]	[5]	1.0
[4]	[4]	1.0
[2]	[2]	1.0
[2]	[2]	1.0
[1]	[2]	0.0
[6]	[1]	0.0
[5]	[5]	1.0
[0]	[0]	1.0
[1]	[1]	1.0
[5]	[5]	1.0
[4]	[4]	1.0
[1]	[6]	0.0
[2]	[2]	1.0
[1]	[4]	0.0
[6]	[6]	1.0
[6]	[6]	1.0
[1]	[1]	1.0
[0]	[4]	0.0
[0]	[0]	1.0
[4]	[4]	1.0
[6]	[6]	1.0
[3]	[4]	0.0
[2]	[2]	1.0
[0]	[5]	0.0
[2, 5]	[4]	0.0
[1, 2]	[4]	0.0
[6]	[4]	0.0
[1, 3]	[3]	0.5
[5]	[5]	1.0
[3]	[1]	0.0
[1, 5]	[5]	0.5
[4]	[2]	0.0
[6]	[6]	1.0
[4]	[4]	1.0
[0]	[4]	0.0
[3]	[3]	1.0
[2]	[5]	0.0
[0]	[3]	0.0
[2]	[2]	1.0
[1]	[5]	0.0
[6]	[6]	1.0
[4]	[6]	0.0
[4]	[1]	0.0
[4]	[4]	1.0
[6]	[6]	1.0
[5]	[5]	1.0
[5]	[5]	1.0
[1]	[0]	0.0
[1]	[1]	1.0
[4]	[4]	1.0
[6]	[6]	1.0
[5]	[1]	0.0
[5]	[4]	0.0
[5]	[2]	0.0
[3]	[3]	1.0
[2]	[0]	0.0
[0]	[0]	1.0
[3]	[3]	1.0
[1]	[1]	1.0
[1]	[1]	1.0
[3]	[0]	0.0
[1]	[2]	0.0
[2]	[2]	1.0
[4]	[4]	1.0
[2]	[2]	1.0
[1]	[4]	0.0
[6]	[6]	1.0
[1]	[2]	0.0
[5]	[5]	1.0
[5]	[5]	1.0
[0]	[0]	1.0
[5]	[5]	1.0
[5]	[5]	1.0
[0]	[1]	0.0
[2]	[5]	0.0
[4]	[1]	0.0
[0]	[6]	0.0
[6]	[6]	1.0
[2]	[2]	1.0
[5, 6]	[5]	0.5
[3]	[3]	1.0
[2]	[2]	1.0
[5]	[5]	1.0
[4]	[4]	1.0
[5]	[5]	1.0
[4]	[4]	1.0
[5]	[5]	1.0
[3]	[3]	1.0
[5]	[5]	1.0
[0]	[2]	0.0
[3]	[6]	0.0
[1]	[1]	1.0
[0, 6]	[0]	0.5
[5]	[5]	1.0
[1]	[1]	1.0
[2]	[3]	0.0
[0]	[5]	0.0
[0]	[5]	0.0
[3]	[1]	0.0
[6]	[2]	0.0
[0, 4]	[0]	0.5
[3]	[3]	1.0
[0]	[0]	1.0
[6]	[6]	1.0
[3]	[4]	0.0
[2]	[2]	1.0
[0]	[2]	0.0
[2]	[2]	1.0
[0]	[5]	0.0
[3]	[3]	1.0
[0]	[0]	1.0
[3]	[3]	1.0
[6]	[6]	1.0
[1]	[5]	0.0
[3]	[3]	1.0
[1]	[1]	1.0
[4]	[4]	1.0
[3]	[2]	0.0
[5]	[5]	1.0
[3]	[3]	1.0
[0]	[0]	1.0
[5]	[5]	1.0
[2]	[2]	1.0
[3]	[4]	0.0
[1]	[1]	1.0
[6]	[4]	0.0
[5]	[5]	1.0
[4]	[3]	0.0
[0]	[0]	1.0
[2]	[2]	1.0
[4]	[3]	0.0
[4]	[4]	1.0
[1]	[4]	0.0
[4]	[4]	1.0
[6]	[6]	1.0
[0]	[0]	1.0
[3]	[3]	1.0
[2]	[2]	1.0
[2]	[2]	1.0
[5]	[4]	0.0
[6]	[6]	1.0
[6]	[0]	0.0
[3]	[0]	0.0
[0]	[0]	1.0
[1]	[1]	1.0
[1]	[4]	0.0
[1]	[1]	1.0
[6]	[4]	0.0
[2]	[2]	1.0
[3]	[3]	1.0
[0]	[4]	0.0
[5]	[5]	1.0
[2]	[2]	1.0
[2]	[2]	1.0
[6]	[6]	1.0
[0, 6]	[6]	0.5
[4]	[0]	0.0
[1]	[1]	1.0
[6]	[6]	1.0
[5]	[1]	0.0
[2, 5]	[2]	0.5
[5]	[5]	1.0
[0]	[0]	1.0
[2]	[4]	0.0
[4]	[4]	1.0
[3]	[4]	0.0
[0]	[0]	1.0
[5, 6]	[6]	0.5
[4]	[4]	1.0
[5]	[5]	1.0
[0]	[0]	1.0
[0]	[0]	1.0
[5]	[6]	0.0
[0]	[0]	1.0
[2]	[2]	1.0
[5]	[1]	0.0
[3]	[3]	1.0
[6]	[6]	1.0
[5]	[3]	0.0
[1, 6]	[2]	0.0
[4]	[4]	1.0
[3]	[4]	0.0
[4]	[2]	0.0
[6]	[1]	0.0
[1]	[1]	1.0
[0]	[5]	0.0
[1]	[5]	0.0
[5]	[5]	1.0
[1]	[1]	1.0
[5]	[5]	1.0
[2, 3]	[4]	0.0
[2]	[2]	1.0
[4]	[4]	1.0
[4]	[4]	1.0
[2]	[5]	0.0
[1]	[1]	1.0
[6]	[2]	0.0
[2]	[2]	1.0
[0]	[0]	1.0
[2]	[2]	1.0
[2, 3, 4]	[4]	0.3333333333333333
[0, 2]	[2]	0.5
[1]	[4]	0.0
[2, 6]	[2]	0.5
[6]	[4]	0.0
[3]	[3]	1.0
[2]	[3]	0.0
[6]	[5]	0.0
[6]	[2]	0.0
[5]	[1]	0.0
[4]	[4]	1.0
[2]	[2]	1.0
[5]	[1]	0.0
[3]	[3]	1.0
[4]	[4]	1.0
[2]	[2]	1.0
accuracy: 0.5676666666666667
