CondorcetCriterion,0.875,0.88,0.8825396825396825,0.8848396501457726,0.8876488095238095,0.8897119341563786,0.8913939393939394,0.8930127723516154
CondorcetLoserCriterion,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ConsistencyCriterion,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HomogeneityCriterion,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MajorityCriterion,0.9696969696969697,0.9591836734693877,0.957983193277311,0.9563492063492064,0.9554865424430642,0.9557109557109557,0.9557645419714386,0.9558566433566433
MajorityLoserCriterion,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MonotonicityCriterion,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NeutralityCriterion,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ParticipationCriterion,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PluralityCriterion,0.9523809523809523,0.9166666666666666,0.913086913086913,0.8997252747252747,0.8865546218487395,0.8846749226006192,0.8783321941216679,0.8712591756070017
ReversalSymmetryCriterion,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SmithCriterion,0.8809523809523809,0.8863636363636364,0.8891108891108891,0.8914835164835165,0.8942577030812325,0.8962848297213623,0.89792663476874,0.8994918125352908
SchwarzCriterion,0.8809523809523809,0.8863636363636364,0.8891108891108891,0.8914835164835165,0.8942577030812325,0.8962848297213623,0.89792663476874,0.8994918125352908
24,0.993993993993994,0.9945054945054945,0.992296918767507,0.9921295400296755,0.9920221859210576,0.991101904380782
SmithCriterion,0.9523809523809523,0.9318181818181818,0.9250749250749251,0.9189560439560439,0.9145658263305322,0.9121517027863777,0.9097744360902256,0.9081498211932995
SchwarzCriterion,0.9523809523809523,0.9318181818181818,0.9250749250749251,0.9189560439560439,0.9145658263305322,0.9121517027863777,0.9097744360902256,0.9082204027856202
